,name,address,phone,sido,gungu
58,M미아역점,"서울특별시 강북구 도봉로 200, 선미아역구내상가 번호 05(미아동)",02-945-5482,서울특별시,강북구
59,M신도림역점,"서울특별시 구로구 새말로 117-21, 구내상가 번호(신도림동)",02-830-1242,서울특별시,구로구
60,M신촌역점,"서울특별시 마포구 신촌로 90, 구내상가 번호(노고산동)",02-332-3109,서울특별시,마포구
61,M양재역점,"서울특별시 서초구 남부순환로 2585, 선양재역구내상가 번호08(서초동)",02-2247-8564,서울특별시,서초구
62,M역삼역점,"서울특별시 강남구 테헤란로 156, 구내상가 번호  역삼역(역삼동)",0,서울특별시,강남구
63,M잠실롯데타워점,서울특별시 송파구 올림픽로 305 잠실역8호선,02-423-4459,서울특별시,송파구
64,M잠실역점,"서울특별시 송파구 올림픽로 265, 서울메트로 2호선 잠실역(잠실동) 지하층 216동 02호",02-423-0625,서울특별시,송파구
65,M종합운동장역점,"서울특별시 송파구 올림픽로 23, 서울메트로 2호선(잠실동) 지하층 218동 02호",02-424-0625,서울특별시,송파구
66,M홍제역점,"서울특별시 서대문구 통일로 440-1, 선홍제역 지하(홍제동)",02-395-5580,서울특별시,서대문구
67,NHN내츄럴스토어점,"경기도 성남시 분당구 불정로 6, 엔에치엔주식회사  주식회사(정자동)",031-712-8714,경기도,성남시
68,SBS목동신사옥점,"서울특별시 양천구 목동서로 161, S방송센터  SB 내(목동)",02-2652-9890,서울특별시,양천구
69,SK21세기주유소점,"서울특별시 동작구 시흥대로 616, (신대방동)",02-832-7926,서울특별시,동작구
70,SK4공단주유소점,"대전광역시 대덕구 대덕대로 1412, SK4공단  주유소(신일동)",042-935-6051,대전광역시,대덕구
71,SKKOREA주유소점,"서울특별시 양천구 신목로7길 1, (신정동)",02-2646-6121,서울특별시,양천구
72,SK가산IC주유소점,"경상북도 칠곡군 가산면 송신로 113, (천평리)",054-976-6051,경상북도,칠곡군
73,SK가양주유소점,"서울특별시 강서구 강서로 498, (가양동)",02-3664-6051,서울특별시,강서구
74,SK강매주유소점,"
","
",,
75,SK강변주유소점,"부산광역시 사상구 낙동대로 1274, SK주유소  (삼락동)",051-301-3441,부산광역시,사상구
76,SK강화경기주유소점,"인천광역시 강화군 선원면 중앙로 233, (창리)",032-933-5060,인천광역시,강화군
77,SK개나리주유소점,"강원도 춘천시 퇴계로 231, (석사동)",033-264-0370,강원도,춘천시
78,SK경기주유소점,"경기도 평택시 송탄로 81, (장당동)",031-665-4253,경기도,평택시
79,SK경산주유소점,"경상북도 경산시 진량읍 대학로 1021, (신상리)",053-853-6051,경상북도,경산시
80,SK경원주유소점,"경기도 평택시 경기대로 1602, (독곡동)",031-668-5185,경기도,평택시
81,SK고속세차주유소점,"경기도 수원시 영통구 중부대로 384, 수원고속주유소  (매탄동) 1층",031-214-6644,경기도,수원시
82,SK고속주유소점,"경기도 용인시 수지구 포은대로 95, (상현동)",031-261-1374,경기도,용인시
83,SK고잔주유소점,"경기도 안산시 단원구 적금로 114, (고잔동)",031-413-8076,경기도,안산시
84,SK공단1주유소점,"인천광역시 남동구 남동대로 357, (남촌동)",032-812-4162,인천광역시,남동구
85,SK공단2주유소점,"인천광역시 남동구 앵고개로 463, (고잔동)",032-817-8781,인천광역시,남동구
86,SK광교충전소점,"경기도 수원시 영통구 광교호수로 101, (하동)",031-216-7149,경기도,수원시
87,SK광덕주유소점,"서울특별시 성북구 보문로 89, (보문동5가) 1층",02-923-5545,서울특별시,성북구
88,SK광명삼성주유소점,"경기도 광명시 범안로 925, (하안동)",02-898-4454,경기도,광명시
89,SK광주OK주유소점,"광주광역시 북구 하남대로 691, SK광주OK주유소  (동림동)",062-511-5106,광주광역시,북구
90,SK괴정주유소점,"부산광역시 사하구 사하로 129, (괴정동)",051-206-7446,부산광역시,사하구
91,SK구성신도시주유소점,"경기도 용인시 기흥구 용구대로 2381, (마북동)",031-287-0151,경기도,용인시
92,SK군자주유소점,"경기도 시흥시 도일로 146, (거모동)",031-495-5184,경기도,시흥시
93,SK극동주유소점,"경상남도 창원시 마산회원구 삼호로 258, (석전동)",055-255-5079,경상남도,창원시
94,SK기흥톨게이트주유소,"경기도 용인시 기흥구 삼성2로 34, (농서동)",031-285-8733,경기도,용인시
95,SK길동고속주유소점,"서울특별시 강동구 천호대로 1084, (성내동)",02-472-1996,서울특별시,강동구
96,SK김포주유소점,"경기도 김포시 김포대로 970, (북변동)",031-982-5488,경기도,김포시
97,SK남대구IC주유소점,"대구광역시 달서구 성서공단로 372, (월성동)",053-582-5361,대구광역시,달서구
98,SK남부셀프주유소점,"서울특별시 양천구 남부순환로 553, 남부셀프주유소  (신월동)",02-2690-5001,서울특별시,양천구
99,SK남촌주유소점,"경기도 오산시 청학로 4, (가수동)",031-375-6300,경기도,오산시
100,SK노원역주유소점,"서울특별시 노원구 노해로75길 20-25, (상계동)",02-930-5103,서울특별시,노원구
101,SK노은주유소점,"대전광역시 유성구 노은동로 79, (노은동)",042-477-5182,대전광역시,유성구
102,SK논현제일주유소점,"인천광역시 남동구 청능대로 460, (고잔동)",032-437-5185,인천광역시,남동구
103,SK대구합천주유소점,"대구광역시 서구 염색공단천로 78, (비산동)",053-356-1010,대구광역시,서구
104,SK대명주유소점,"서울특별시 광진구 광나루로 460, (화양동)",02-2201-4392,서울특별시,광진구
105,SK대성주유소점,"충청남도 아산시 온천대로 1660, SK대성주유소  (풍기동)",041-546-5992,충청남도,아산시
106,SK대양충전소점,"울산광역시 북구 산업로 1454, (신천동)",052-298-3114,울산광역시,북구
107,SK대우셀프주유소점,서울특별시 서초구 양재대로 173 톨게이트주유소,02-572-0567,서울특별시,서초구
108,SK대자셀프주유소점,"
","
",,
109,SK대전OK주유소점,"대전광역시 대덕구 대전로 1312, SK대전OK주유소  (읍내동)",042-633-8757,대전광역시,대덕구
110,SK대전청사주유소점,"대전광역시 서구 대덕대로 188, SK대전청사  주유소(둔산동)",042-486-6222,대전광역시,서구
111,SK대호주유소점,"경기도 수원시 영통구 창룡대로 442, (이의동)",031-243-6022,경기도,수원시
112,SK덕양제2주유소점,경기도 고양시 일산서구 경의로 940,031-924-5192,경기도,고양시
113,SK도움아주주유소점,"경상남도 거제시 거제대로 3417, (아주동)",055-681-5141,경상남도,거제시
114,SK동광주유소점,"울산광역시 북구 안기번득길 21, (화봉동)",052-287-3626,울산광역시,북구
115,SK동남주유소점,"대전광역시 대덕구 신탄진로 470, SK동남주유소  (상서동)",042-931-0050,대전광역시,대덕구
116,SK동양주유소점,경기도 안산시 단원구 중앙대로 351,031-494-3399,경기도,안산시
117,SK동탄셀프주유소점,"경기도 화성시 여울로3길 21, (능동)",031-613-5169,경기도,화성시
118,SK둔전주유소점,"경기도 용인시 처인구 포곡읍 포곡로 177, (둔전리)",031-332-0049,경기도,용인시
119,SK맘모스주유소점,"충청남도 천안시 동남구 만남로 126, (신부동)",041-563-7001,충청남도,천안시
120,SK매일주유소점,"서울특별시 강북구 삼양로 217, (미아동)",02-988-1288,서울특별시,강북구
121,SK목감주유소점,"경기도 시흥시 수인로 2335, (목감동)",031-403-8051,경기도,시흥시
122,SK무궁화주유소점,"경상남도 김해시 내외중앙로 56, (내동)",055-337-1188,경상남도,김해시
123,SK민락주유소점,"경기도 의정부시 충의로 91, (용현동)",031-853-3133,경기도,의정부시
124,SK반월공단주유소점,"경기도 안산시 단원구 시우로 46, (초지동)",031-493-5182,경기도,안산시
125,SK반월주유소점,"경기도 안산시 상록구 수인로 1226, (일동)",031-406-5991,경기도,안산시
126,SK반포주유소점,"서울특별시 서초구 사평대로 12, (방배동)",02-599-5189,서울특별시,서초구
127,SK백제고분로주유소점,"서울특별시 송파구 오금로 143, (방이동)",02-2202-4050,서울특별시,송파구
128,SK봉담톨게이트주유,"경기도 화성시 봉담읍 삼천병마로 1346, (동화리)",031-298-5100,경기도,화성시
129,SK부천주유소점,"경기도 부천시 원미구 신흥로 281, (중동)",032-678-5184,경기도,부천시
130,SK부평주유소점,"인천광역시 부평구 원적로 417, (산곡동)",032-524-5151,인천광역시,부평구
131,SK북수원주유소점,"경기도 수원시 장안구 서부로 2201, (율전동)",031-207-5189,경기도,수원시
132,SK사과나무주유소점,"경기도 양주시 부흥로 1881, (광사동)",031-842-5157,경기도,양주시
133,SK사우디제7주유소점,"경기도 고양시 일산동구 백마로 37, (장항동)",031-902-1155,경기도,고양시
134,SK삼성제일주유소점,"대구광역시 달서구 달구벌대로 1154, (신당동)",053-585-6051,대구광역시,달서구
135,SK삼성주유소점,"경기도 화성시 효행로 1279, (반월동)",031-225-6974,경기도,화성시
136,SK삼일주유소점,"경기도 고양시 덕양구 지도로 15, (토당동)",031-979-0314,경기도,고양시
137,SK삼척IC점,"강원도 삼척시 오십천로 101, (등봉동)",033-575-5151,강원도,삼척시
138,SK상동주유소점,"경기도 부천시 원미구 송내대로 369, (상동)",032-322-5182,경기도,부천시
139,SK새관양주유소점,"경기도 수원시 장안구 경수대로 795, 삼양빌딩  (영화동)",031-423-6942,경기도,수원시
140,SK새한주유소점,"서울특별시 강북구 도봉로 75, (미아동)",02-985-4381,서울특별시,강북구
141,SK새화랑주유소점,"경상북도 경주시 초당길 103, (동천동)",054-741-0051,경상북도,경주시
142,SK서린사옥점,"서울특별시 종로구 종로 26, SK빌딩  지하(서린동)",02-723-3094,서울특별시,종로구
143,SK서부주유소점,"서울특별시 서대문구 성산로 255, (연희동)",02-338-9043,서울특별시,서대문구
144,SK서울주유소점,"서울특별시 관악구 신림로 183, (신림동)",02,서울특별시,관악구
145,SK석수동주유소점,"경기도 수원시 장안구 경수대로 795, 삼양빌딩  (영화동)",031-473-6018,경기도,수원시
146,SK세지주유소점,"경기도 시흥시 서해안로 120, (정왕동)",031-365-5090,경기도,시흥시
147,SK셀프스토리주유소,"대전광역시 동구 동서대로 1627, (홍도동)",042-637-8838,대전광역시,동구
148,SK속초주유소점,"강원도 속초시 동해대로 3834, (대포동)",033-635-9705,강원도,속초시
149,SK솔빛나루주유소점,경기도 화성시 10용사로 650 동탄신도시주유소,031-613-5194,경기도,화성시
150,SK송도역주유소점,인천광역시 연수구 비류대로 199,032-835-5011,인천광역시,연수구
151,SK송탄내트럭주유소점,"경기도 평택시 청원로 1640, (도일동)",031-611-6051,경기도,평택시
152,SK수암주유소점,"경기도 안산시 상록구 원당골1길 23-14, (수암동)",031-482-8118,경기도,안산시
153,SK수원덕원주유소점,"경기도 수원시 권선구 권선로 258, (고색동)",031-278-7381,경기도,수원시
154,SK시화산업주유소점,"경기도 시흥시 공단1대로 195, (정왕동)",031-498-2167,경기도,시흥시
155,SK시흥2공단주유소점,"경기도 시흥시 경제로 117, (정왕동)",031-498-4316,경기도,시흥시
156,SK시흥파워디젤주유소,경기도 시흥시 옥구공원로 75 SK파워디젤주유소,031-433-5189,경기도,시흥시
157,SK신공항주유소점,"인천광역시 중구 신도시남로141번길 6, (운서동)",032-752-1588,인천광역시,중구
158,SK신도시주유소점,"경기도 안산시 상록구 예술광장1로 18, (월피동)",031-480-7227,경기도,안산시
159,SK신봉천주유소점,"서울특별시 관악구 남부순환로 1880, (봉천동)",02-885-5913,서울특별시,관악구
160,SK신세계주유소점,"대구광역시 달서구 이곡공원로 28, (이곡동)",053-588-5145,대구광역시,달서구
161,SK신안주유소점,"경기도 용인시 기흥구 중부대로 234, (영덕동)",031-283-6015,경기도,용인시
162,SK안산공원주유소점,"경기도 안산시 단원구 광덕1로 268, (고잔동)",031-413-5051,경기도,안산시
163,SK안평주유소점,"경기도 안성시 공도읍 서동대로 3986, (진사리)",031-655-2603,경기도,안성시
164,SK암사주유소점,"서울특별시 강동구 올림픽로 749, (암사동)",02-3427-2043,서울특별시,강동구
165,SK양곡오일씨티점,"
","
",,
166,SK양산주유소점,"광주광역시 북구 하서로 255, SK양산주유소  (양산동)",062-571-5189,광주광역시,북구
167,SK양천OK주유소점,"서울특별시 양천구 안양천로 1179, (목동)",02-2653-5189,서울특별시,양천구
168,SK양평동충전소점,"서울특별시 영등포구 선유로 157, (양평동3가)",02-2636-2650,서울특별시,영등포구
169,SK여주교리주유소점,"경기도 여주시 세종로 315, (교동)",031-885-3990,경기도,여주시
170,SK영종주유소점,"인천광역시 중구 운중로 218, (중산동)",032-746-1478,인천광역시,중구
171,SK영종행복주유소점,인천광역시 중구 자연대로 55,032-746-5189,인천광역시,중구
172,SK오미산주유소점,"경기도 고양시 일산동구 성현로 7, (성석동)",031-975-5197,경기도,고양시
173,SK오산세교주유소점,"경기도 오산시 경기대로 876, (세교동)",031-372-5151,경기도,오산시
174,SK오창만남의광장점,"충청북도 청주시 청원구 오창읍 오창대로 415, (각리)",043-211-0883,충청북도,청주시
175,SK오창태양점,"충청북도 청주시 청원구 오창읍 중부로 1559, (화산리)",043-217-9347,충청북도,청주시
176,SK오천주유소점,"서울특별시 강남구 봉은사로 503, (삼성동)",02-545-2822,서울특별시,강남구
177,SK올림픽주유소점,"서울특별시 송파구 위례성대로 188, (오금동)",02-448-9804,서울특별시,송파구
178,SK용인주유소점,"경기도 용인시 기흥구 중부대로 199, (영덕동)",031-283-1496,경기도,용인시
179,SK우영주유소점,"경기도 화성시 효행로 767, (안녕동)",031-234-5715,경기도,화성시
180,SK울산월드컵주유소점,"울산광역시 남구 문수로 93, (무거동)",052-223-5145,울산광역시,남구
181,SK원동주유소점,"경기도 오산시 남부대로 354, (원동)",031-374-1042,경기도,오산시
182,SK원일주유소점,"경기도 고양시 일산동구 고양대로 1071, (식사동)",031-962-2211,경기도,고양시
183,SK월드컵주유소점,"경기도 수원시 영통구 광교로 66, SK월드컵주유소  (이의동)",031-214-5189,경기도,수원시
184,SK유화주유소점,"인천광역시 계양구 아나지로 240, (효성동)",032-553-5189,인천광역시,계양구
185,SK의정부엔크린점,"경기도 의정부시 경의로 20, (의정부동)",031-877-5477,경기도,의정부시
186,SK이노베이션점,"대전광역시 유성구 엑스포로 325, (원촌동) (주)SK대덕기술원",010-5102-7708,대전광역시,유성구
187,SK이매동주유소점,"
","
",,
188,SK익산무궁화주유소,"전라북도 익산시 선화로 120, SK익산무궁화주유소  (모현동1가)",063-842-1116,전라북도,익산시
189,SK인천대교주유소점,"인천광역시 연수구 아암대로 815, (동춘동)",032-833-7020,인천광역시,연수구
190,SK인천장미주유소점,인천광역시 남구 인주대로 394 SK네트웍스(주)장미주유소,032-422-6152,인천광역시,남구
191,SK인천행복날개주유소,인천광역시 계양구 계양대로 93,032-542-9601,인천광역시,계양구
192,SK잠홍주유소점,"충청남도 서산시 서해로 3602, SK잠홍주유소  (잠홍동)",041-663-5156,충청남도,서산시
193,SK장삼주유소점,"서울특별시 성북구 화랑로 293, (장위동)",02-909-0314,서울특별시,성북구
194,SK장안주유소점,"경기도 수원시 장안구 경수대로 791, (영화동)",031-243-9013,경기도,수원시
195,SK제천주유소점,"충청북도 제천시 의림대로 226, 제천장락  (청전동)",043-642-8855,충청북도,제천시
196,SK중동대로주유소점,"경기도 부천시 원미구 평천로 639, (약대동)",032-326-5188,경기도,부천시
197,SK중랑교주유소점,"서울특별시 중랑구 망우로 247, (중화동) 22호",02-493-0115,서울특별시,중랑구
198,SK중앙셀프주유소점,"대구광역시 북구 동북로 315, (복현동)",053-953-6000,대구광역시,북구
199,SK중앙주유소점,"경기도 안산시 단원구 화정로 96, (와동)",031-486-7547,경기도,안산시
200,SK진주주유소점,"경상남도 진주시 진양호로 230, (평거동)",055-746-6051,경상남도,진주시
201,SK처용로주유소점,"울산광역시 남구 처용로 92, (선암동)",052-227-4233,울산광역시,남구
202,SK천천주유소점,"경기도 수원시 장안구 덕영대로 557, (천천동)",031-269-5151,경기도,수원시
203,SK청주용담골든벨주유,"충청북도 청주시 상당구 산성로 183, (용담동)",043-287-5149,충청북도,청주시
204,SK춘천장미주유소점,강원도 춘천시 영서로 2241,033-255-9285,강원도,춘천시
205,SK코끼리주유소점,"전라북도 전주시 완산구 거마평로 47, (삼천동1가)",063-222-8086,전라북도,전주시
206,SK클린파워주유소점,"경기도 용인시 수지구 수지로 137, (성복동)",031-272-6051,경기도,용인시
207,SK토평주유소점,"경기도 구리시 벌말로 136, (토평동)",031-565-8919,경기도,구리시
208,SK톨게이트주유소점,"경기도 용인시 처인구 백옥대로 1410, (유방동)",031-322-6051,경기도,용인시
209,SK팔곡주유소점,"경기도 안산시 상록구 해안로 1295, (팔곡이동)",031-437-7794,경기도,안산시
210,SK평촌사랑주유소점,"경기도 안양시 동안구 시민대로 372, (관양동)",031-421-5577,경기도,안양시
211,SK평촌신도시주유소점,"경기도 안양시 동안구 시민대로 301, (관양동)",031-385-4951,경기도,안양시
212,SK평택중리주유소점,"경기도 평택시 오성면 서동대로 2067, (죽리)",031-681-8058,경기도,평택시
213,SK평택항주유소점,"경기도 평택시 포승읍 포승공단로 240, (도곡리)",031-682-6003,경기도,평택시
214,SK포천대로주유소점,"경기도 포천시 소흘읍 호국로 303, (이동교리)",031-544-9090,경기도,포천시
215,SK포항셀프주유소점,경상북도 포항시 남구 새천년대로 410 SK주유소,054-274-1988,경상북도,포항시
216,SK풍덕천주유소점,"경기도 용인시 수지구 포은대로 402, (풍덕천동)",031-265-8251,경기도,용인시
217,SK프리미엄주유소점,"경기도 화성시 삼성1로 231, (석우동)",031-8003-5339,경기도,화성시
218,SK하남제일주유소점,"광주광역시 광산구 사암로 754, SK하남제일주유소  (도천동)",062-954-0522,광주광역시,광산구
219,SK하이웨이주유소점,"경상북도 구미시 낙동강변로 29, (오태동)",054-464-2400,경상북도,구미시
220,SK한영주유소점,"인천광역시 서구 서곶로 715, (백석동)",032-562-6171,인천광역시,서구
221,SK합정주유소점,"서울특별시 마포구 양화로 13, (합정동)",02-336-3276,서울특별시,마포구
222,SK해바라기주유소점,"서울특별시 강서구 화곡로 273, (화곡동)",02-2695-4544,서울특별시,강서구
223,SK행복날개주유소점,"광주광역시 서구 운천로 206, SK행복날개주유소  (치평동)",062-383-4007,광주광역시,서구
224,SK화성서해안주유소점,"경기도 화성시 비봉면 비봉로 477, 서해안주유소  (삼화리)",031-357-7006,경기도,화성시
225,SK화정주유소점,경기도 고양시 덕양구 호국로 430,031-978-0048,경기도,고양시
226,SK황제주유소점,"대전광역시 유성구 대덕대로 934, SK주유소  (화암동)",042-861-5558,대전광역시,유성구
227,SK흥국주유소점,"서울특별시 용산구 한남대로 204, (한남동)",02-795-0802,서울특별시,용산구
228,catholic store 2호점,"경기도 부천시 원미구 지봉로 43, 가톨릭대학교  소피아바라관(역곡동)",032-345-9081,경기도,부천시
229,kcc일반산업단지점, ,010-3005-9185,,
230,가곡중앙점,"경기도 남양주시 화도읍 비룡로 337, (가곡리)",031-559-8714,경기도,남양주시
231,가남현진점,"경기도 여주시 가남읍 경충대로 1468, (신해리)",031-881-0987,경기도,여주시
232,가능공원점,"경기도 의정부시 가능로 15, (가능동)",031-875-0571,경기도,의정부시
233,가능빌리지점,경기도 의정부시 의정로198번길 29,031-836-8777,경기도,의정부시
234,가능제일점,"경기도 의정부시 가능로97번길 17, (가능동)",031-874-7192,경기도,의정부시
235,가능타운점,경기도 의정부시 직곡로7번길 43,031-855-6061,경기도,의정부시
236,가락극동점,"서울특별시 송파구 동남로18길 14, (가락동)",02-424-8808,서울특별시,송파구
237,가락대림점,"서울특별시 송파구 중대로9길 56, 소담빌딩  (가락동)",02-402-8950,서울특별시,송파구
238,가락동부점,"서울특별시 송파구 송이로14길 24, (가락동, 그랜드)",02-402-7822,서울특별시,송파구
239,가락벤처점,"서울특별시 송파구 중대로 135, 아이티벤처타워  동관(가락동)",02-404-5201,서울특별시,송파구
240,가락본점,서울특별시 송파구 송파대로28길 16 주)프로모터스송파자동차,02-403-3641,서울특별시,송파구
241,가락센타점,"서울특별시 송파구 중대로16길 6, (가락동)",02-406-1850,서울특별시,송파구
242,가락시영점,"서울특별시 송파구 가락로 74, (석촌동)",02-425-3482,서울특별시,송파구
243,가락오벨리스크점,"서울특별시 송파구 중대로 127,  (가락동, 한화오벨리스크)",02-2043-7061,서울특별시,송파구
244,가락중대로점,"서울특별시 송파구 중대로9길 30, (가락동)",02-402-1316,서울특별시,송파구
245,가락코리아점,"서울특별시 송파구 중대로10길 37-25, (가락동)",070-8874-5634,서울특별시,송파구
246,가락프라자점,"서울특별시 송파구 동남로18길 43,  (가락동) 1층",02-408-3055,서울특별시,송파구
247,가산ENC7점,"서울특별시 금천구 디지털로9길 46, 이엔씨드림타워7차아파트 (가산동) 104호",02-6330-4777,서울특별시,금천구
248,가산W-MALL점,"서울특별시 금천구 디지털로 188, W몰  (가산동)",02-2081-0931,서울특별시,금천구
249,가산대륭3차점,"서울특별시 금천구 가산디지털2로 115,  하(가산동) 1층",02-2108-5508,서울특별시,금천구
250,가산대륭점,"서울특별시 금천구 디지털로9길 68, 대륭포스타워5차아파트 (가산동) 114호",02-568-8899,서울특별시,금천구
251,가산두산점,"서울특별시 금천구 가산로5길 46, (가산동)",02-858-9366,서울특별시,금천구
252,가산디지털단지역점,"서울특별시 금천구 가산디지털1로 186, (가산동) 제이플라츠",02-2028-5555,서울특별시,금천구
253,가산디지털점,"서울특별시 금천구 가산로 157, (가산동)",02-863-3665,서울특별시,금천구
254,가산디폴리스점,"서울특별시 금천구 서부샛길 606, 대성 디폴리스 1층 B동 114호",02-861-8885,서울특별시,금천구
255,가산벚꽃로점,서울특별시 금천구 벚꽃로 312-1 (가산동),02-528-7175,서울특별시,금천구
256,가산본점,"경기도 포천시 가산면 가산로 125,  (방축리) 1층",031-542-3303,경기도,포천시
257,가산성지점,"서울특별시 금천구 가산로 120, (가산동)",02-867-2177,서울특별시,금천구
